ID,Name,Description,Use,Also Known As,Characteristics,Purpose,Alpha Acid Composition,Beta Acid Composition,Co-Humulone Composition,Country,Cone Size,Cone Density,Seasonal Maturity,Yield Amount,Growth Rate,Resistant to,Susceptible to,Storability,Ease of Harvest,Total Oil Composition,Myrcene Oil Composition,Humulene Oil Composition,Caryophyllene Oil,Farnesene Oil,Substitutes,Style Guide
,California Cluster,"Generally considered to be indistinguishable from other Cluster varieties, California Cluster is a true dual use hop. Used prolifically by US brewers in the early-to-mid 1900’s, Clusters were widely available and cheap – providing a generic but pleasant bitterness and flavor.",Bittering,,Generic hop bitterness and flavor,Bittering,5.5%-8.5%,4.5%-5.5%,36%-42%,US,,,,,,,,,,,,,,,"Eroica, Galena","American Barley Wine, Porter, English Pale Ale, Amber Ale, Honey Ale, Cream Ale"
,Chelan,"Chelan is a privately patented bittering hop and daughter to Galena. Developed by John I. Haas, Inc. and grown exclusively in Washington State, it was released in 1994 and has found popular use in male styles of ales – particularly American style ales.",Bittering,,"Strong, brutish bitterness",Bittering,12%-15.5%,8.5%-11.5%,33%-35%,US,,,Early to mid,2460-2910 kg/hectare (2200-2600 lbs/acre),,Resistant to verticillium wilt,Moderately susceptible to downy mildew,Retains 80% alpha acid after 6 months storage at 20ºC (68ºF),,1.5-1.9 mL/100g,45%-55%,12%-15%,9%-12%,1.00%,"Galena, Nugget",American Ale
,Cluster (AUS),"Though its official lineage is vague, Australian Cluster is a dual-use hop thought to be of Dutch, English and/or American ancestry. Australian Cluster, grown by HPA is strongly resinous but yields a balanced bitterness with a notable herbal character. Australian’s, particularly those in Queensland, might recognize Australian-grown Cluster as the aroma variety in XXXX Bitter.",Bittering,Australian Cluster,"Strongly resinous, herbal character",Bittering & Aroma,5.5%-8.5%,4.5%-5.5%,36%-42%,Australia,,Medium,Early to mid,1900-2400 kg/hectare (1695-2141 lbs/acre),High,,Susceptible to downy mildew,Retains 80-85% alpha acid after 6 months storage at 20ºC (68ºF),Easy,0.4-1 mL/100g,45%-55%,15%-18%,6%-7%,1.00%,"Northern Brewer, Galena","Lager, Stout, Ale"
,Comet,"Comet has an intriguing parentage of English Sunshine and a native American hop, bringing out a “wild American” flavor. Released in 1974 by the USDA, Comet was originally bred to address the needs for higher alpha hops. Today, it is no longer in commercial production and is somewhat difficult to find.",Bittering,,"Strong grapefruit, dank resin flavors",Bittering & Aroma,9.4%-12.4%,3%-6.1%,41.00%,US,,,Late,1900-2240 kg/hectare (1700-2000 lbs/acre),Very high,Resistant to verticillium wilt,Susceptible to downy mildew,Retains 49% alpha acid after 6 months storage at 20ºC (68ºF),,1.98 mL/100g,67.00%,1.00%,10.00%,0.10%,"Galena, Summit™","Lager, American Ale, India Pale Ale, Ale"
,Eastern Gold,"Eastern Gold is a Super Alpha variety developed in Japan by Kirin Brewing Co. Ltd Hops Research from Kirin No. 2 and OB79, an open-pollinated wild American hop. Despite its yield potential, high alpha acids and storage stability, it seems it is not currently being grown in any significant commercial capacity.",Bittering,,,Bittering,11%-14%,5%-6%,27.00%,Japan,,,Late,,Very high,Moderately resistant to downy mildew,,Retains 81% alpha acid after 6 months storage at 20ºC (68ºF),,1.43 mL/100g,42.00%,19.00%,7%-8%,3.00%,Brewer’s Gold,
,Eroica,"Despite Eroica hops enjoying a high alpha acid percentage, they are, on paper at least, overshadowed by their sister Galena. It appears this comparison is also moving them toward denouement of commercial production along with their cones being considered difficult to harvest and it’s susceptibility to Ringspot and Mosaic virus.",Bittering,,Sharp fruity essence,Bittering,12.30%,4.50%,40.00%,,Medium,Compact,Late to very late,2020-2470 kg/hectare (1800-2200 lbs/acre),Very high,Moderately resistant to downy mildew and resistant to verticillium wilt,"Susceptible to prunus necrotic ringspot, apple mosaic virus and hop mosaic virus",Retains 77% alpha acid after 6 months storage at 20ºC (68ºF),Easy,0.8-1.3 mL/100g,55%-65%,0%-1%,7%-13%,0%-1%,"Bullion, Brewer’s Gold, Galena","Bitter, Pale Ale, Amber Ale, Porter, India Pale Ale"
,Feux-Coeur,"Cheekily named Feux-Coeur (aka Feux-Coeur Francais) is an Australian bittering hop with genetic roots in Burgundian France. First harvested in 2010, the breed is considered rare and bred specifically to be grown in the cooler, southern state of Victoria. Unfortunately little has been written about its best utilization or flavor profile at this stage.",Bittering,Feux-Coeur Francais,,Bittering,12%-16%,3.1%-6%,,Australia,,,,,,,,,,,,,,,,
,Galena,Super alpha Galena is one of the most widely used bittering hop varieties in the US and is also an excellent dual-use hop.,Bittering,,Fruity aroma,Fruity aroma,12.00%,7.50%,39.00%,US,Medium,Compact,Mid,1790-2240 kg/hectare (1600-2000 lbs/acre),Moderate,Resistant to downy mildew and peronospera,"Susceptible to prunus necrotic ring-spot virus, powdery mildew and aphids",Retains 75%-80% alpha acid after 6 months storage at 20ºC (68ºF),Easy,0.9-1.3 mL/100g,55%-60%,10%-15%,3%-6%,0%-1%,"Nugget, Columbus, Zeus, Chinook, Pride of Ringwood, Eroica, Newport, Cluster, Brewers Gold","Imperial Stout, Stout, India Pale Ale, Barley Wine"
,Kitamidori,"Developed by the Kirin Brewery Company in Tokyo, Japan, Kitamidori is no longer grown commercially there or anywhere else. It was bred alongside Toyomidori and Eastern Gold as a potential super alpha replacement for Kirin II, which was itself a replacement for Shinshuwase hops. It sports an oil composition with remarkable similarities to Saaz.",Bittering,,,Bittering,9%-12%,5%-6%,22.00%,Japan,,,Late,1490 kg/hectare (1330 lbs/acre),,,,Retains 75% alpha acid after 6 months storage at 20ºC (68ºF),,1.35 mL/100g,34.00%,31.00%,8%-10%,6%-7%,"Kirin II, Saaz, Toyomidori, Eastern Gold",
,Magnum,"Magnum is fast becoming a brewing favorite in Europe and towards being one of the most widely grown high alpha varieties in the US. Used predominately as a base bittering hop it features an exceptional growth rate, yield and superlative storage stability and is said to result in squeaky clean bitterness and subtle citrus-like flavors.",Bittering,Hallertau Magnum,"Clean bitterness, subtle citrus flavors",Bittering,12%-14%,4.5%-5.5%,24%-25%,Germany,Large,Moderate,Late,1340-1700 kg/hectare (1200-1520 lbs/acre),Moderate,Resistant to verticillium wilt and peronospora,,Retains 80%-85% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,1.9-2.3 mL/100g,30%-35%,34%-40%,8%-12%,0%-1%,"Hallertauer Taurus, Columbus, Nugget","India Pilsner, Belgian India Pale Ale, American Ale, Blonde Ale, Pale Ale, Nut Brown Ale, Dark Ale, Pilsner, Bright Ale, Hefeweizen"
,Magnum (US),"Magnum is grown on limited acreage in the US but what is produced has an excellent bittering profile and a nice, hoppy, floral aroma and subtle characters of citrus. Though genetically indistinguishable from the original German Magnum, some subtleties undoubtedly exist through varied growing conditions between the two countries. Both hops however are largely considered to be totally interchangeable.",Bittering,Yakima Magnum,"Clean bittering, light citrus flavor",Bittering,10%-14%,4.5%-7%,24%-30%,US,,,,,,,,,,1.9-3.0 mL/100g,,,,,"Magnum, Horizon, Northdown, Northern Brewer","American Pale Ale, American India Pale Ale, Strong Ale, American Lager"
,Millennium,"Millennium was, unsurprisingly, released in the year 2000. Emanating from the John I. Haas Breeding Program, Millennium hops are directly descended from Nugget and are considered similar in many ways to Columbus. They were born largely out of a desire for greater disease resistance and storage stability. They work well as a bittering agent in American-style ales, Stouts and are considered mild in character with an ability to impart herbaceous notes and elements of resin.",Bittering,,"Mild, herbaceous, elements of resin",Bittering,14.5%-16.5%,4.3%-5.3%,28%-32%,,,,,2464-2913 kg/hectare (2200-2600 lbs/acre),,,,Retains 76% alpha acid after 6 months storage at 20ºC (68ºF),,1.8-2.2 mL/100g,30%-40%,23%-27%,9%-12%,1.00%,"Columbus, Nugget, Summit™, CTZ","Stout, Ale, American Ale"
,Newport,Newport is the offspring of Magnum and a USDA male variety. Oregon State University and the USDA successfully bred it in 2002 in an effort to address concerns over mildew resistance. It was said to have helped save Northwest US hops production around this time when mildew issues threatened multiple hops varieties.,Bittering,New Port,"Clean bitterness, flavors of wine and balsamic",Bittering,13.5%-17%,7.2%-9.1%,36%-38%,US,Medium to large,Loose to moderate,Mid to late,1990-2250 kg/hectare (1775-2000 lbs/acre),Moderate,Resistant to powdery mildew and downy mildew,,Retains 60% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,1.6-3.6 mL/100g,47%-54%,9%-1%,1%-7%,0%-1%,"Galena, Nugget","Pale Ale, Amecan Lager"
,Outeniqua,"Mild, pleasant and slightly spicy, Outeniqua is an excellent, high alpha bittering hop from the land of milk and honey—a moniker of the South African region where it is grown. Primarily used only locally, Outeniqua features a well-balanced oil profile and a strong, punchy, hoppy aroma. Outeniqua is also the mother of high-alpha variety, Southern Star.",Bittering,,,Bittering,12%-13.5%,4.1%-5.1%,25%-30%,South Africa,Small to medium,Compact,Mid to Late,1590-1940 kg/hectare (1420-1730 lbs/acre),Moderate,,,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,1.6-1.6 mL/100g,38%-43%,28%-33%,9%-10%,0%-1%,Southern Star,Pilsner
,Pacific Gem,"Pacific Gem is a New Zealand hops variety of interesting character. Bred at the New Zealand Horticultural Research Centre as a triploid cross between Smooth Cone, California Late Cluster and Fuggle, it is used around the world in various styles but most notably in European lagers. It was released in 1987.",Bittering,,Notes of oak and blackberry,Bittering & Aroma,13%-16%,7%-9%,37%-40%,New Zealand,Medium to large,Compact,Early to mid,2380-2380 kg/hectare (2120-2120 lbs/acre),High,,,Retains 70%-80% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,1.2-1.4 mL/100g,33%-55%,18%-30%,7%-11%,0%-1%,Fuggle,"Strong Ale, European Lagers"
,Pacific Sunrise,"Released in 2000 by HortResearch in New Zealand, Pacific Sunrise’s take up by commercial breweries has been sluggish. Despite this, it features favorable bittering properties and a pleasant piney aroma. It is the result of a cross between the result of a European and New Zealand male on one side and a California Cluster and a Fuggle on the other.",Bittering,,,Bittering,12.5%-14.5%,6%-6.5%,27%-30%,New Zealand,,,,,High,,,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),,1.7-2 mL/100g,45%-55%,19%-25%,6%-9%,0%-1%,Pacific Gem,Lager
,Pilot,"Pilot is a high-yielding hedgerow variety, well resistant to wilt, but not to mildew. Bred at Wye College and released in 2001, it’s oil balance makes it distinct from most other English hops. It is said to have excellent, clean and refreshing bittering qualities with spicy aromatics of lemon and marmalade.",Bittering,,,Bittering,8%-11.5%,3.3%-5%,28%-37%,UK,,,,,,Resistant to wilt,,,,0.8-1.4 mL/100g,30%-40%,,,1.00%,,
,Pride of Ringwood,"When Australian hop Pride of Ringwood was released in 1958 it had the distinction of being the hop with the highest alpha acid content in the world. Though that title has been long surpassed it is still an incredibly popular bittering hop. Best utilized fresh, Pride of Ringwood is primarily a bittering hop but also exhibits spicy, fruity aromas when used as a late addition.",Bittering,,"Spicy, fruity aroma",Bittering,7%-11%,4%-8%,33%-39%,Australia,Medium to large,Compact,Mid-Late,1010-1560 kg/hectare (900-1400 lbs/cre),High,Verticillium Wilt,Downy mildew,Retains 45-55% alpha acid after 6 months storage at 20ºC (68ºF),,1.21 mL/100g,25%-53%,2%-8%,5%-10%,1.00%,"East Kent Golding, Centennial, Galena, Cluster","Amber Ale, Lager, Fruit Lambic, Pale Ale, Australian Lager, Strong Ale, Golden Ale, American Pale Ale"
,Satus®,"Satus® is a trademarked variety of Yakima Chief Ranches in Washington State. It is a high alpha dual-use hop considered great as a clean foundational hop when used at the beginning of a boil and when an extra punch of hops is desired. When used late, strong citrus notes come to the fore.",Bittering,,,Bittering,12.5%-14%,8.5%-9%,32%-35%,US,Medium,Moderate,,2450-2550 kg/hectare (2190-2275 lbs/acre),Moderate to high,Resistant to powdery mildew and sperotheca,,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),Moderate,1.5-2.8 mls/100 grams,40%-45%,15%-20%,7%-10%,0%-1%,"Nugget, Galena","India Pale Ale, Pale Ale, Stout, Barley Wine, Imperial Stout"
,Sorachi Ace,"If you’ve ever enjoyed Sapporo, then you know what Sorachi Ace can do. Originally produced by the Sapporo Brewery in Hokkaido, Japan in the mid-1980s, it was resurrected in the US in 2006. It is a cross between Saaz, Brewer’s Gold and BeiKei No. 2.",Bittering,,"Flavors of lemon citrus, orange, dill, cilantro",Bittering & Aroma,11.5%-16%,6%-7.5%,23%-28%,Japan,,,Mid,,High,Resistant to downy mildew and botrytis,,,,1.5-3 mL/100g,44%-55%,20%-26%,7%-11%,2%-5%,,"Lager, Pilsner, Saison"
,Sovereign,"The granddaughter of Pioneer, Sovereign is an English variety bred at Wye College in the mid-1990s. Released in 2006, Sovereign is gaining respect for its complex and delicate aroma profile.",Bittering,,"Complex aroma, subtle notes of green-tea and vanilla",Bittering,4.5%-6.5%,2.1%-3.1%,26%-30%,UK,,,,,,,,,,0.6-1 mL/100g,25%-30%,21%-26%,7.9%-8.1%,3.5%-3.7%,,"American Lager, American Pale Ale"
,Summit™,"Developed in 1998 by The American Dwarf Hop Association, a joint hop breeding venture between the owners of Roy Farms, Wyckoff Farms and Green Acres Farms, Summit™ was released for brewing trials in 2000. It has the distinction of being the first semi-dwarf variety to be bred in the United States and is currently the only low trellis variety grown in the country. Its pedigree is decidedly complex, hailing from a combination of Nugget, Zeus and Lexus hops.",Bittering,,Citrus aromas,Bittering,16%-18%,3.3%-4.3%,26%-33%,US,Medium,Moderate to compact,Mid,2200-2700 kg/hectare (1965-2410 lbs/acre),High,"Resistant to powdery mildew, verticillium wilt and phytophthora root rot",Susceptible to downy mildew,Retains 85%-85% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,1.5-3 mL/100g,30%-50%,15%-25%,10%-16%,0%-1%,"Columbus, Simcoe®, Apollo","India Pale Ale, Barley Wine, Imperial Stout"
,Super Pride,"Super Pride is the offspring of Pride of Ringwood and a descendant of Yeoman. First bred at the Rostrevor Breeding Garden in Victoria in 1987 by Hop Products Australia, it was released in 1995 and since 2002 has become a mainstay bittering variety used in commercial beer production in Australia.",Bittering,,,Bittering,13.5%-15%,6.4%-6.9%,26.8%-28%,Australia,,,,2310-3200 kg/hectare (2060-2860 lbs/acre),,,,,,2.1-2.6 mL/100g,19%-34%,1%-2%,5%-8%,0%-1%,Pride of Ringwood,"Imperial Pale Ale, Lager"
,Symphony,Despite Symphony’s very high alpha content and excellent storage stability its extreme susceptibility to powdery mildew has largely deemed the variety untenable for commercial production.,Bittering,,,Bittering,16%-18%,5%-5.6%,44.00%,,,,Late,,,,,,,2.6 mL/100g,39.00%,,9.00%,8.80%,,
,Tillicum®,"Daughter of Galena and sibling to Chelan®, Tillicum® is a proprietary hop trademarked and grown only by J.I. Haas of Toppenish, Washington in the Yakima valley. Developed in the late 1980’s and released in 1995 it is an excellent yielding hop that keeps well and has high average alpha and beta acid content. It’s said to share the stone fruit and citrus characteristics of its other family members.",Bittering,,Elements of stone fruit and citrus,Bittering,13.5%-15.5.%,9.5%-11.5%,35.00%,US,,,Early,2240-2690 kg/hectare (2000-2400 lbs/acre),Very high,Moderately sisceptible to downy mildew,,Retains 80% alpha acid after 6 months storage at 20ºC (68ºF),,1.5 mL/100g,40.00%,14.00%,7.00%,None,"Galena, Chelan®",
,Toyomidori,"Produced in Japan for Kirin Brewery Co in 1981 and released in 1990, Toyomidori has since been largely discontinued due to problems with downy mildew. It was developed alongside Kitamidori and Eastern Gold as a high alpha variety but was the least successful of the three in this respect.",Bittering,,,Bittering,11%-13%,5%-6%,40.00%,Japan,,,Mid,1055 kg/hectare (940 lbs/acre),High,,Moderately sisceptible to downy mildew,Retains 63% alpha acid after 6 months storage at 20ºC (68ºF),,1.06 mL/100g,59.00%,9%-12%,4%-5%,Trace Amounts,,
,Warrior®,"Developed by Select Botanicals Group, proprietary American hop Warrior® is fast becoming a favorite, especially with US craft breweries. Among its desirable traits are its clean, smooth bittering and a somewhat inconspicuous citrusy and spicy aroma. Its pedigree is a unknown to the public. Dogfish Head Brewery employs Warrior in many of its brews, most notably in its 60 Minute IPA.",Bittering,,Aromas of citrus and spice,Bittering,14.5%-18%,4.3%-6%,22%-28%,US,Medium,Moderate,Mid,2400-2600 kg/hectare (2140-2320 lbs/acre),High,Resistant to powdery mildew and sphaerotheca,,Retains 76%-76% alpha acid after 6 months storage at 20ºC (68ºF),Difficult,1-2 mL/100g,40%-50%,15%-20%,8%-11%,0%-1%,"Nugget, Columbus","India Pale Ale, American Ales"
,Yakima Cluster,"First grown in the late 1950’s, Yakima Cluster is the daughter of Late Cluster and the granddaughter of Pacific Coast Cluster. It doesn’t appear to be suited to either Idaho or Oregon growing regions in the US but seems to thrive in the drier Yakima Valley.",Bittering,Late Cluster L-8,,Bittering,4.4%-9.8%,3%-6.1%,42.00%,US,,,Early,2020-2250 kg/hectare (1800-2000 lbs/acre),High,,Susceptible to downy mildew,Retains 85% alpha acid after 6 months storage at 20ºC (68ºF),,0.24-0.90 mL/100g,45%-55%,18.00%,6%-7%,< 1%,Chinook,
,Zenith,"Zenith is a hop of unknown pedigree but was grown as a high alpha hop with good resistance to disease. It has high alpha and high myrcene, low cohumulone and a myrcene/humulene ratio of about 2:1. Its rhizomes are usually available from November to February, which is also the best time to plant them.",Bittering,,,Bittering,9%-11%,3.00%,25.00%,,,,Early,,Moderate to high,Resistant to downy mildew and powdery mildew,Susceptible to verticillium wilt,Retains 82% alpha acid after 6 months storage at 20ºC (68ºF),,1.76 mL/100g,52.00%,18.00%,7.00%,Trace Amounts,,
,Zeus,"Aptly named after the god of lightning and thunder, proprietary American hybrid variety Zeus is a high yielding hop with a pleasant aroma noted for its pungent hoppy “kick” and spicy, herbal flavor and aroma.",Bittering,CTZ,"Sweet citrus, herbal aromas",Bittering,13%-17.5%,4.5%-6.5%,30%-40%,US,,,Mid to late,2690-3365 kg/hectares (2400-3000 lbs/acre),Very high,Resistant to powdery mildew,,,,2.4-4.5 mL/100g,45%-55%,9%-14%,5%-10%,< 1%,Columbus,
